Swaziland	2007	1133066	Africa	39.613	4513.480643
Mozambique	2007	19951656	Africa	42.082	823.6856205
Zambia	2007	11746035	Africa	42.384	1271.211593
Sierra_Leone	2007	6144562	Africa	42.568	862.5407561
Lesotho	2007	2012649	Africa	42.592	1569.331442
Angola	2007	12420476	Africa	42.731	4797.231267
Zimbabwe	2007	12311143	Africa	43.487	469.7092981
Afghanistan	2007	31889923	Asia	43.828	974.5803384
Central_African_Republic	2007	4369038	Africa	44.741	706.016537
Liberia	2007	3193942	Africa	45.678	414.5073415
